Date,AAPL,NVDA
2023-01-03,124.04804992675781,14.306803703308105
2023-01-04,125.32750701904297,14.740555763244629
2023-01-05,123.99845123291016,14.256834983825684
2023-01-06,128.56088256835938,14.850494384765625
2023-01-09,129.08653259277344,15.619053840637207
2023-01-10,129.6617889404297,15.899892807006836
2023-01-11,132.39926147460938,15.991838455200195
2023-01-12,132.31988525390625,16.50154685974121
2023-01-13,133.65884399414062,16.889326095581055
2023-01-17,134.82923889160156,17.691864013671875
2023-01-18,134.10519409179688,17.367053985595703
2023-01-19,134.16470336914062,16.755403518676758
2023-01-20,136.7434539794922,17.82879066467285
2023-01-23,139.9569854736328,19.18201446533203
2023-01-24,141.36537170410156,19.25396728515625
2023-01-25,140.70086669921875,19.31193733215332
2023-01-26,142.78370666503906,19.79066276550293
2023-01-27,144.7375946044922,20.35334014892578
2023-01-30,141.83154296875,19.151029586791992
2023-01-31,143.11099243164062,19.525815963745117
2023-02-01,144.24166870117188,20.931011199951172
2023-02-02,149.587646484375,21.696571350097656
2023-02-03,153.23757934570312,21.087921142578125
2023-02-06,150.4901885986328,21.076927185058594
2023-02-07,153.3863525390625,22.16030502319336
2023-02-08,150.6786651611328,22.19228744506836
2023-02-09,149.63722229003906,22.3242130279541
2023-02-10,150.0047607421875,21.252824783325195
2023-02-13,152.8258819580078,21.77552604675293
2023-02-14,152.18020629882812,22.957849502563477
2023-02-15,154.2960205078125,22.750967025756836
2023-02-16,152.6868133544922,21.989404678344727
2023-02-17,151.53453063964844,21.375755310058594
2023-02-21,147.4916229248047,20.64317512512207
2023-02-22,147.9187469482422,20.74211883544922
2023-02-23,148.40548706054688,23.650453567504883
2023-02-24,145.7333984375,23.272666931152344
2023-02-27,146.9353485107422,23.4875431060791
2023-02-28,146.42874145507812,23.20270538330078
2023-03-01,144.34271240234375,22.685007095336914
2023-03-02,144.93873596191406,23.3006534576416
2023-03-03,150.02462768554688,23.876319885253906
2023-03-06,152.80601501464844,23.540517807006836
2023-03-07,150.59085083007812,23.27861976623535
2023-03-08,151.85240173339844,24.171262741088867
2023-03-09,149.58755493164062,23.426563262939453
2023-03-10,147.51148986816406,22.95574951171875
2023-03-13,149.4683837890625,22.956748962402344
2023-03-14,151.5742645263672,24.053308486938477
2023-03-15,151.9716033935547,24.218244552612305
2023-03-16,154.81256103515625,25.53071403503418
2023-03-17,153.9682159423828,25.714641571044922
2023-03-20,156.3522491455078,25.88956642150879
2023-03-21,158.2197265625,26.18844985961914
2023-03-22,156.77938842773438,26.457338333129883
2023-03-23,157.87205505371094,27.180049896240234
2023-03-24,159.1832733154297,26.768213272094727
2023-03-27,157.2263946533203,26.520315170288086
2023-03-28,156.60055541992188,26.399362564086914
2023-03-29,159.69981384277344,26.973133087158203
2023-03-30,161.27920532226562,27.371971130371094
2023-03-31,163.8023223876953,27.765811920166016
2023-04-03,165.0638427734375,27.9537353515625
2023-04-04,164.5274658203125,27.44194221496582
2023-04-05,162.66990661621094,26.870174407958984
2023-04-06,163.56390380859375,27.02610969543457
2023-04-10,160.951416015625,27.56789207458496
2023-04-11,159.7296142578125,27.158058166503906
2023-04-12,159.03427124023438,26.484331130981445
2023-04-13,164.45791625976562,26.452342987060547
2023-04-14,164.11026000976562,26.747222900390625
2023-04-17,164.13011169433594,26.991125106811523
2023-04-18,165.3618621826172,27.65585708618164
2023-04-19,166.51416015625,27.919750213623047
2023-04-20,165.54066467285156,27.09308433532715
2023-04-21,163.9215087890625,27.108076095581055
2023-04-24,164.22946166992188,27.031108856201172
2023-04-25,162.67984008789062,26.230432510375977
2023-04-26,162.66990661621094,26.94514274597168
2023-04-27,167.2889404296875,27.21503448486328
2023-04-28,168.5504913330078,27.737825393676758
2023-05-01,168.46109008789062,28.89835548400879
2023-05-02,167.4180908203125,28.198637008666992
2023-05-03,166.33534240722656,27.790802001953125
2023-05-04,164.68638610839844,27.550899505615234
2023-05-05,172.41461181640625,28.668447494506836
2023-05-08,172.34506225585938,29.139259338378906
2023-05-09,170.6265869140625,28.559492111206055
2023-05-10,172.40467834472656,28.873367309570312
2023-05-11,172.59341430664062,28.56648826599121
2023-05-12,171.6583709716797,28.32858657836914
2023-05-15,171.16099548339844,28.94133949279785
2023-05-16,171.16099548339844,29.20123291015625
2023-05-17,171.77774047851562,30.16584587097168
2023-05-18,174.12527465820312,31.665241241455078
2023-05-19,174.23468017578125,31.251407623291016
2023-05-22,173.2797393798828,31.1634464263916
2023-05-23,170.65370178222656,30.675642013549805
2023-05-24,170.93223571777344,30.52570152282715
2023-05-25,172.07615661621094,37.96470260620117
2023-05-26,174.5032501220703,38.93031692504883
2023-05-30,176.36337280273438,40.094844818115234
2023-05-31,176.31365966796875,37.81875991821289
2023-06-01,179.13861083984375,39.75398254394531
2023-06-02,179.99407958984375,39.311161041259766
2023-06-05,178.63133239746094,39.15522384643555
2023-06-06,178.2633056640625,38.638431549072266
2023-06-07,176.88064575195312,37.46377944946289
2023-06-08,179.61610412597656,38.49847412109375
2023-06-09,180.00405883789062,38.75839614868164
2023-06-12,182.819091796875,39.47018051147461
2023-06-13,182.3416290283203,41.00972366333008
2023-06-14,182.97824096679688,42.984130859375
2023-06-15,185.02735900878906,42.640235900878906
2023-06-16,183.94313049316406,42.679222106933594
2023-06-20,184.0326385498047,43.79488754272461
2023-06-21,182.9882049560547,43.03211212158203
2023-06-22,186.01214599609375,43.01212692260742
2023-06-23,185.69383239746094,42.19636535644531
2023-06-26,184.29127502441406,40.61983871459961
2023-06-27,187.0665283203125,41.86346435546875
